name,rating,reviews
Berger Paints,3.7,(4.4k)
Motilal Oswal Financial Services,3.7,(4.4k)
Lenskart,3.3,(4.3k)
TeamLease Services,3.9,(4.3k)
VE Commercial Vehicles,3.9,(4.3k)
Thermax Limited,4.2,(4.2k)
Macleods Pharmaceuticals,3.7,(4.2k)
Jubilant Foods Works,3.7,(4.2k)
Bajaj Auto,3.8,(4.2k)
Carelon Global Solutions,3.9,(4.2k)
Aakash Educational Services,3.2,(4.2k)
Kogta Financial India Limited,4.7,(4.1k)
LG Electronics,3.9,(4.1k)
Hindalco Industries,4.2,(4.1k)
Jindal Steel Limited,3.9,(4.1k)
State Street Corporation,3.5,(4.1k)
Royal Enfield,4.2,(4.1k)
DCB Bank,3.8,(4k)
HDFC Ergo General Insurance,4.0,(4k)
Tata Communications,3.9,(4k)
John Deere,4.0,(4k)
RBL Bank,3.5,(4k)
Cummins,4.3,(4k)
Publicis Sapient,3.2,(3.9k)
Bank of America,4.1,(3.9k)
Alembic Pharmaceuticals,3.9,(3.9k)
Pidilite Industries,4.2,(3.9k)
Oyo Rooms,3.0,(3.9k)
Cloudnine Hospital,4.5,(3.9k)
American Express,4.1,(3.8k)
Aditya Birla Sun Life Insurance,4.0,(3.8k)
Grasim Industries,4.0,(3.8k)
